nome,genero,blood_status,profissao,casa,patrono,elemento_preferido,animal_preferido,cor,coragem,ambicao,inteligencia,lealdade,determinacao,justica,criatividade,coragem_moral,cautela,lealdade_a_amigos,competitividade,individualismo,cooperacao,fama_reconhecimento,pertencimento_comunidade,pensamento_analitico,intuicao,estrategia,impulsividade,autocontrole,empatia,etica,pragmatismo,lideranca,leitura_de_pessoas,persistencia,humildade,orgulho,busca_por_proposito_pessoal,identidade_forte
Denise Turner,Não-Binário,Nascido-Trouxa,Lojista,Ravenclaw,Lobo,Ar,Amasso (Kneazle),Azul,4,4,9,6,2,9,9,2,6,4,1,7,5,7,4,8,10,8,3,9,10,5,1,5,9,1,8,8,9,7
Molly Robson,Masculino,Puro-Sangue,Membro da Suprema Corte,Hufflepuff,Lebre,Terra,Mini-pufe,Preto,10,1,10,9,10,8,3,7,5,9,5,5,10,3,7,1,6,3,2,5,10,9,10,6,10,9,8,4,9,8
Harry Long-Taylor,Feminino,Puro-Sangue,Estudante,Hufflepuff,Lontra,Terra,Furão,Preto,7,3,2,8,6,8,7,10,5,8,5,2,7,2,7,6,3,5,3,2,10,8,6,5,8,7,10,3,3,3
Dr Dominic Webb,Feminino,Puro-Sangue,Jornalista,Hufflepuff,Texugo,Terra,Testrálio,Amarelo,3,1,9,9,2,8,1,5,8,9,4,4,10,3,9,10,3,6,3,7,8,7,7,6,2,8,9,2,8,2
Jessica Ball,Feminino,Mestiço,Auror,Ravenclaw,Cão,Água,Serpente,Bronze,6,9,8,1,3,5,9,8,5,5,3,7,6,1,5,8,9,9,2,9,6,9,1,3,9,2,7,1,10,3
Dr Alex Wall,Feminino,Mestiço,Lojista,Gryffindor,Cervo,Ar,Cachorro,Dourado,9,5,7,7,6,4,4,8,4,7,5,10,6,7,5,5,3,3,8,1,6,2,1,6,10,1,1,2,7,2
Shirley Stanley,Masculino,Mestiço,Funcionário(a) do Ministério,Hufflepuff,Gato,Terra,Serpente,Amarelo,2,3,3,8,6,10,9,8,3,10,1,4,9,6,9,3,5,7,8,6,10,9,6,4,10,7,8,6,7,4
Lisa Webster-Collins,Não-Binário,Puro-Sangue,Curandeiro(a),Hufflepuff,Serpente,Terra,Gato,Amarelo,3,1,2,10,5,10,1,5,3,9,2,2,10,1,10,5,6,4,2,10,10,9,4,7,5,6,10,3,10,10
Mr Charles Moore,Masculino,Nascido-Trouxa,Professor(a),Hufflepuff,Indeterminado,Terra,Hipogrifo,Amarelo,5,4,5,9,10,7,1,6,8,8,1,2,8,4,10,8,3,4,3,7,9,7,9,4,5,7,10,2,9,7
Dr Philip Boyle,Masculino,Puro-Sangue,Jornalista,Slytherin,Serpente,Água,Coruja,Verde,5,9,3,3,9,3,4,9,8,10,9,8,4,4,1,8,3,9,6,8,2,9,6,9,2,1,1,7,2,9
Mrs Jean Brown,Feminino,Nascido-Trouxa,Auror,Slytherin,Fênix,Terra,Coruja,Verde,5,9,7,4,9,4,9,9,4,1,9,9,6,4,1,4,10,7,7,9,2,4,7,7,7,8,2,9,10,4
Jeremy Edwards,Não-Binário,Nascido-Trouxa,Desempregado(a),Gryffindor,Lobo,Fogo,Cachorro,Vermelho,8,3,6,10,9,3,1,7,3,7,7,4,6,3,5,5,8,2,8,2,10,3,4,5,5,7,2,2,2,5
Jodie Miller,Não-Binário,Mestiço,Inominável,Ravenclaw,Lobo,Água,Testrálio,Azul,5,7,10,5,2,10,8,10,5,1,2,9,4,9,5,9,8,7,3,5,1,3,6,7,9,2,2,7,8,2
Jake Potter-James,Não-Binário,Puro-Sangue,Membro da Suprema Corte,Hufflepuff,Cisne,Terra,Coruja,Amarelo,5,1,7,10,1,7,8,5,4,9,1,4,10,1,10,9,1,4,1,10,8,9,3,3,10,10,6,3,3,8
Mrs Amanda Reed,Feminino,Mestiço,Tratador(a) de Criaturas Mágicas,Ravenclaw,Gato,Água,Cachorro,Azul,7,1,10,3,5,7,8,2,5,4,10,6,7,10,4,9,7,9,3,3,1,7,1,8,5,10,6,3,9,6
Dr Iain Long,Feminino,Puro-Sangue,Estudante,Gryffindor,Águia,Fogo,Mini-pufe,Vermelho,9,3,4,4,7,1,4,9,2,6,8,6,2,5,9,5,10,6,7,4,1,9,1,7,7,9,2,7,6,9
Stewart Wilson,Não-Binário,Mestiço,Estudante,Ravenclaw,Indeterminado,Ar,Serpente,Azul,6,9,9,10,1,5,9,2,6,4,4,8,7,5,2,9,7,8,4,5,2,8,1,4,7,8,1,2,7,1
Miss Amanda Howells,Feminino,Nascido-Trouxa,Jornalista,Ravenclaw,Cão,Ar,Sapo,Azul,6,8,8,2,1,6,10,5,9,3,4,9,6,2,5,9,10,5,2,6,1,10,7,4,6,9,7,4,9,8
Mr Marcus Francis,Não-Binário,Mestiço,Tratador(a) de Criaturas Mágicas,Hufflepuff,Lobo,Terra,Coruja,Amarelo,9,4,8,8,8,10,1,3,3,8,3,6,8,4,9,3,10,4,1,2,9,9,2,3,7,8,7,5,10,5
Mr Callum Fletcher,Feminino,Puro-Sangue,Estudante,Slytherin,Doninha,Terra,Mini-pufe,Prata,3,10,5,6,10,3,3,1,7,1,9,9,2,2,10,5,9,10,10,8,1,3,8,6,4,1,3,7,1,6
Teresa Thorpe,Feminino,Puro-Sangue,Jornalista,Gryffindor,Cavalo,Fogo,Dragão (miniatura),Vermelho,9,4,8,2,7,9,9,9,2,10,5,5,4,9,10,5,1,3,9,4,5,3,1,7,9,10,8,7,6,5
Gerard Cooper,Não-Binário,Mestiço,Herbologista,Gryffindor,Cervo,Fogo,Hipogrifo,Vermelho,7,5,6,7,8,8,2,9,1,10,7,4,2,9,5,2,8,5,8,9,4,1,1,7,4,4,1,4,2,10
Josh Cox,Não-Binário,Mestiço,Lojista,Ravenclaw,Cão,Ar,Sapo,Azul,5,7,8,4,9,1,7,6,6,10,10,7,6,4,4,8,6,7,3,6,9,5,1,3,9,8,6,8,9,6
Jane Thomas,Feminino,Puro-Sangue,Fabricante de Varinhas,Slytherin,Fênix,Água,Dragão (miniatura),Verde,10,9,8,3,7,2,3,8,7,10,8,10,2,9,8,5,9,10,10,6,1,6,10,10,7,4,2,9,9,10
Chelsea Andrews,Masculino,Nascido-Trouxa,Lojista,Gryffindor,Gato,Fogo,Gato,Vermelho,9,4,6,6,8,10,3,10,3,8,6,7,2,5,3,10,6,3,7,10,2,4,5,8,6,1,4,8,4,6
Jessica Walker,Masculino,Nascido-Trouxa,Lojista,Slytherin,Lobo,Água,Testrálio,Verde,2,10,7,6,9,2,1,2,9,4,9,10,5,1,5,8,9,9,5,9,3,1,9,9,5,4,3,9,1,2
Mrs Amelia French,Masculino,Nascido-Trouxa,Pesquisador(a),Hufflepuff,Cervo,Fogo,Gato,Preto,4,1,6,8,10,10,6,10,2,9,5,2,8,3,7,1,9,3,7,5,9,10,7,7,4,9,7,3,6,2
Joseph Hunt,Feminino,Nascido-Trouxa,Fabricante de Varinhas,Slytherin,Serpente,Água,Dragão (miniatura),Verde,5,8,9,7,7,5,8,6,3,10,8,10,5,10,9,9,7,8,2,8,1,6,8,8,9,9,1,8,4,8
Rebecca Davies,Não-Binário,Nascido-Trouxa,Tratador(a) de Criaturas Mágicas,Slytherin,Urso,Água,Cachorro,Prata,9,10,7,7,7,4,3,3,5,4,9,7,4,8,10,5,6,10,6,7,2,9,7,8,2,9,1,7,1,9
Hilary Smith,Feminino,Nascido-Trouxa,Fabricante de Varinhas,Gryffindor,Lebre,Fogo,Fênix,Vermelho,10,5,5,8,7,9,1,8,1,8,6,4,2,3,3,7,7,3,6,1,2,7,3,7,7,10,9,1,6,4
Geoffrey Hill,Masculino,Nascido-Trouxa,Desempregado(a),Gryffindor,Doninha,Fogo,Aranha,Vermelho,9,7,6,7,5,5,5,7,4,9,4,2,9,4,8,7,9,3,6,3,9,4,2,7,5,5,4,2,9,5
Vanessa White,Masculino,Nascido-Trouxa,Tratador(a) de Criaturas Mágicas,Hufflepuff,Cervo,Terra,Amasso (Kneazle),Amarelo,4,2,9,10,7,10,6,9,10,10,4,4,9,6,7,8,8,7,6,7,8,7,4,3,1,7,10,3,5,7
Raymond Shah,Masculino,Nascido-Trouxa,Jogador(a) de Quadribol,Slytherin,Cisne,Água,Fênix,Verde,4,8,2,5,8,3,10,5,4,8,9,10,6,3,9,2,1,8,3,6,3,3,10,6,5,5,1,7,3,6
Kimberley Mistry-Edwards,Não-Binário,Puro-Sangue,Jornalista,Gryffindor,Lontra,Fogo,Fênix,Vermelho,10,3,4,3,6,3,8,8,4,10,5,5,7,1,2,7,6,2,10,10,8,4,3,7,5,2,7,2,3,10
Gerard Curtis,Não-Binário,Mestiço,Curandeiro(a),Slytherin,Gato,Água,Rato,Verde,9,8,8,6,10,4,2,9,6,1,8,7,3,5,10,2,7,9,9,6,3,3,7,6,8,2,1,10,1,6
Nathan Khan,Feminino,Nascido-Trouxa,Membro da Suprema Corte,Hufflepuff,Lontra,Terra,Pomo,Amarelo,4,3,1,10,8,9,3,4,3,10,4,3,7,8,7,8,4,6,1,10,9,10,3,6,9,9,6,6,1,2
Rachael Jackson-Newman,Não-Binário,Mestiço,Herbologista,Ravenclaw,Gato,Ar,Mini-pufe,Azul,5,2,8,9,8,1,9,5,6,10,10,8,4,9,5,8,6,6,5,8,6,10,4,3,8,7,3,7,10,3
Valerie Lee,Não-Binário,Puro-Sangue,Professor(a),Ravenclaw,Gato,Ar,Serpente,Azul,5,6,10,4,9,4,9,9,7,5,7,9,3,5,2,10,8,5,2,8,2,4,5,2,6,6,3,2,8,2
Dr Simon Edwards,Não-Binário,Puro-Sangue,Desempregado(a),Hufflepuff,Serpente,Terra,Mini-pufe,Preto,4,1,10,10,5,8,2,10,1,9,5,2,8,9,9,8,8,4,2,3,9,10,4,6,4,9,9,3,5,3
Miss Emma Slater,Masculino,Puro-Sangue,Pocionista,Ravenclaw,Indeterminado,Água,Sapo,Bronze,6,8,8,7,9,7,8,2,7,2,9,9,3,1,4,8,9,8,3,7,2,8,4,9,8,1,8,1,9,2
Roger Butcher-Thomas,Masculino,Puro-Sangue,Jornalista,Gryffindor,Cisne,Fogo,Gato,Vermelho,9,5,7,10,7,1,3,9,1,8,6,1,1,10,10,9,9,3,8,10,4,7,1,7,10,4,9,5,9,8
Joyce Rahman-Ali,Feminino,Nascido-Trouxa,Desempregado(a),Gryffindor,Cão,Ar,Serpente,Vermelho,10,5,4,8,7,9,4,10,4,6,5,3,7,7,8,5,4,5,10,10,6,3,3,6,9,2,1,8,2,9
Gillian Harvey-Ellis,Não-Binário,Mestiço,Jornalista,Slytherin,Salmão,Água,Sapo,Verde,10,10,1,4,7,5,3,3,2,10,8,9,2,3,2,4,8,10,3,10,1,2,6,7,9,2,3,8,7,5
Amber Barnes,Não-Binário,Nascido-Trouxa,Estudante,Ravenclaw,Urso,Água,Testrálio,Bronze,3,1,10,9,2,3,8,1,7,1,4,8,5,3,2,8,7,7,3,6,3,6,3,4,7,6,8,1,8,6
Mrs Jennifer Adams,Masculino,Mestiço,Tratador(a) de Criaturas Mágicas,Gryffindor,Texugo,Fogo,Furão,Vermelho,9,3,5,7,6,6,3,9,1,7,6,1,8,6,10,7,10,2,6,4,1,9,3,6,7,10,5,2,2,2
Emma Wilkins,Não-Binário,Mestiço,Jornalista,Slytherin,Cavalo,Água,Gato,Prata,3,9,9,6,8,2,4,1,2,8,10,7,6,3,10,9,2,9,8,7,1,4,9,9,1,1,1,7,7,9
Miss Chelsea Williams,Masculino,Mestiço,Jornalista,Hufflepuff,Urso,Terra,Amasso (Kneazle),Amarelo,5,5,4,10,6,7,7,5,2,10,4,2,9,6,7,9,9,3,7,6,8,10,2,6,6,8,8,2,6,3
Thomas Coleman,Não-Binário,Puro-Sangue,Jogador(a) de Quadribol,Hufflepuff,Raposa,Terra,Dragão (miniatura),Preto,6,2,1,8,2,9,9,2,10,10,5,6,7,5,9,1,7,3,8,1,10,10,4,5,4,7,6,5,9,7
Ellie Cox-Hawkins,Feminino,Puro-Sangue,Professor(a),Hufflepuff,Urso,Fogo,Dragão (miniatura),Amarelo,6,3,7,10,2,8,8,7,10,8,2,3,7,10,8,9,5,3,10,2,8,7,8,6,4,6,7,5,9,2
Holly Richardson,Não-Binário,Nascido-Trouxa,Professor(a),Ravenclaw,Urso,Ar,Amasso (Kneazle),Bronze,7,1,8,5,3,6,9,4,6,4,8,8,5,7,5,10,6,6,4,9,4,1,7,4,6,10,7,2,8,9
Linda Cook,Não-Binário,Puro-Sangue,Lojista,Ravenclaw,Gato,Ar,Rato,Azul,3,6,8,8,3,8,7,8,7,7,9,9,3,9,6,10,7,7,1,2,4,4,10,8,7,5,2,1,7,9
Kieran Miller-Jackson,Não-Binário,Mestiço,Tratador(a) de Criaturas Mágicas,Gryffindor,Gato,Fogo,Rato,Dourado,9,5,5,4,9,7,6,7,2,10,6,2,3,10,1,4,4,6,9,7,5,5,1,8,5,1,3,3,9,5
Mr Matthew Williams,Masculino,Mestiço,Jornalista,Ravenclaw,Doninha,Ar,Serpente,Bronze,5,8,10,2,6,3,8,10,8,10,10,9,6,2,4,9,9,9,2,4,8,5,7,3,8,5,2,2,8,10
Kyle Harris,Feminino,Puro-Sangue,Curandeiro(a),Hufflepuff,Serpente,Terra,Cachorro,Amarelo,3,2,5,9,10,10,2,8,10,9,1,3,9,1,9,8,5,5,2,2,9,7,5,4,4,6,7,3,1,8
Dr Glenn Burton,Masculino,Nascido-Trouxa,Professor(a),Hufflepuff,Doninha,Terra,Coruja,Preto,1,1,7,10,3,8,9,10,7,8,3,4,9,2,10,5,3,5,5,9,9,8,6,5,6,8,7,5,8,5
Grace Shaw-Barrett,Não-Binário,Puro-Sangue,Pocionista,Ravenclaw,Urso,Ar,Furão,Azul,3,2,9,5,4,9,9,9,8,6,6,8,7,10,4,9,10,7,1,8,6,6,5,10,8,7,4,6,7,6
David Bennett,Masculino,Nascido-Trouxa,Tratador(a) de Criaturas Mágicas,Slytherin,Texugo,Água,Mini-pufe,Verde,4,9,5,3,7,4,10,6,1,1,8,9,3,8,8,5,1,9,4,7,3,1,10,8,8,6,3,7,4,6
Dr Abdul Khan,Masculino,Nascido-Trouxa,Curandeiro(a),Slytherin,Lebre,Água,Mini-pufe,Verde,8,9,7,6,10,4,10,2,10,7,10,8,6,4,3,10,1,9,7,8,1,8,10,10,5,8,3,8,7,1
Yvonne Wilson,Não-Binário,Nascido-Trouxa,Medibruxo(a),Slytherin,Cervo,Água,Amasso (Kneazle),Prata,2,8,3,7,9,4,9,6,3,8,10,8,6,6,9,5,6,10,8,8,1,5,9,7,10,9,2,9,6,8
Mr Denis Newman,Feminino,Puro-Sangue,Fabricante de Varinhas,Gryffindor,Doninha,Ar,Furão,Vermelho,10,3,4,8,6,5,4,8,2,9,4,1,5,4,9,5,10,5,6,5,3,10,3,9,7,7,3,5,1,8
Ms Kelly Harris,Feminino,Puro-Sangue,Tratador(a) de Criaturas Mágicas,Ravenclaw,Lontra,Ar,Sapo,Bronze,5,4,8,6,4,3,9,7,8,6,2,7,7,10,6,9,6,8,4,1,5,3,5,5,9,8,8,4,8,6
Ms Eleanor West,Não-Binário,Nascido-Trouxa,Tratador(a) de Criaturas Mágicas,Slytherin,Raposa,Água,Pomo,Prata,7,8,8,3,10,5,8,10,7,8,9,9,3,3,4,8,5,7,4,10,4,6,8,8,2,3,1,10,8,4
Amber Collins,Feminino,Nascido-Trouxa,Jornalista,Ravenclaw,Urso,Água,Fênix,Azul,4,4,9,5,6,8,10,8,6,3,2,7,3,1,2,9,10,6,1,9,8,7,2,4,5,3,10,1,7,9
Alan Wright,Masculino,Nascido-Trouxa,Jornalista,Ravenclaw,Salmão,Ar,Hipogrifo,Azul,5,4,8,3,9,4,9,3,8,2,7,7,6,9,3,8,8,6,5,10,7,9,3,5,5,8,10,3,9,3
Miss Diana Booth,Masculino,Nascido-Trouxa,Professor(a),Slytherin,Cervo,Água,Furão,Verde,2,9,2,5,9,5,8,8,7,5,10,10,3,4,5,7,9,9,2,7,1,8,8,8,10,3,3,8,1,8
Charles Hall,Não-Binário,Puro-Sangue,Estudante,Ravenclaw,Fênix,Ar,Sapo,Bronze,4,5,8,5,2,6,9,7,6,1,7,8,3,9,4,10,9,9,5,6,1,5,3,3,7,7,1,4,7,9
Mr Sam Anderson,Feminino,Puro-Sangue,Inominável,Ravenclaw,Cão,Ar,Dragão (miniatura),Azul,6,1,10,5,3,8,10,6,6,7,6,9,7,9,2,10,10,8,2,4,5,5,10,4,9,5,4,9,10,3
Victor Weston,Masculino,Nascido-Trouxa,Tratador(a) de Criaturas Mágicas,Slytherin,Cervo,Água,Sapo,Verde,5,8,9,5,7,5,2,9,7,3,8,9,6,9,10,8,9,9,3,6,4,2,7,10,2,1,3,9,2,10
Shane Sanderson,Masculino,Puro-Sangue,Fabricante de Varinhas,Ravenclaw,Urso,Ar,Testrálio,Azul,4,8,10,3,2,6,10,8,9,8,8,6,7,1,4,10,8,8,1,5,4,5,8,2,6,5,1,6,10,1
Shannon Cross-Williams,Feminino,Nascido-Trouxa,Tratador(a) de Criaturas Mágicas,Ravenclaw,Doninha,Ar,Coruja,Azul,3,3,10,8,3,1,9,5,6,4,8,6,5,4,4,8,6,6,4,3,2,1,2,5,9,3,7,5,8,5
Rita Mahmood,Não-Binário,Nascido-Trouxa,Membro da Suprema Corte,Hufflepuff,Águia,Terra,Dragão (miniatura),Amarelo,2,2,6,9,8,8,5,5,7,10,3,6,8,7,10,9,10,7,6,2,9,8,1,6,10,8,8,3,10,2
Lawrence Cox-Hussain,Feminino,Nascido-Trouxa,Membro da Suprema Corte,Ravenclaw,Urso,Ar,Cachorro,Bronze,3,6,9,10,3,8,9,9,6,6,4,6,4,1,6,9,7,8,5,2,9,8,3,3,5,3,10,6,7,5
Mrs Gemma Sanders,Masculino,Nascido-Trouxa,Funcionário(a) do Ministério,Ravenclaw,Fênix,Ar,Testrálio,Azul,7,3,10,10,6,3,9,7,8,4,9,8,6,10,2,10,7,7,2,9,2,7,9,8,7,4,2,9,7,5
Dr Beth Bibi,Não-Binário,Puro-Sangue,Estudante,Gryffindor,Cão,Fogo,Gato,Vermelho,8,7,8,4,9,1,7,8,2,7,6,3,9,10,7,4,5,2,7,9,3,10,3,7,5,1,3,5,6,5
Miss Jacqueline Jones,Feminino,Mestiço,Funcionário(a) do Ministério,Gryffindor,Lebre,Ar,Gato,Vermelho,8,5,5,2,6,8,3,8,2,9,8,8,8,8,3,4,5,3,10,4,10,8,4,8,6,5,5,3,8,9
Dylan Chamberlain,Não-Binário,Mestiço,Pesquisador(a),Hufflepuff,Gato,Terra,Pomo,Amarelo,1,3,10,9,7,10,9,1,2,10,5,3,8,3,9,6,6,5,7,1,10,7,10,4,2,9,10,4,7,5
Nicole Thorpe,Não-Binário,Puro-Sangue,Funcionário(a) do Ministério,Ravenclaw,Indeterminado,Ar,Furão,Azul,5,7,8,7,5,9,9,1,6,10,6,6,5,10,3,8,9,9,2,2,7,7,1,8,5,2,3,5,8,1
Molly Nixon-Evans,Masculino,Nascido-Trouxa,Herbologista,Ravenclaw,Cisne,Ar,Rato,Azul,5,2,9,9,9,10,9,7,6,6,10,9,7,9,5,8,8,9,1,3,10,8,3,4,7,4,9,9,8,4
Hollie Burton,Masculino,Puro-Sangue,Curandeiro(a),Gryffindor,Lobo,Fogo,Testrálio,Vermelho,10,5,7,9,8,10,8,10,3,10,4,5,2,1,5,2,9,3,6,3,2,1,4,8,7,4,6,5,1,2
Dr Margaret Jackson,Masculino,Puro-Sangue,Professor(a),Hufflepuff,Lebre,Terra,Coruja,Amarelo,3,1,6,9,2,9,7,8,6,10,1,6,9,8,10,10,2,5,2,6,8,10,1,6,3,7,8,3,2,1
Terry Anderson,Masculino,Nascido-Trouxa,Medibruxo(a),Slytherin,Águia,Água,Rato,Prata,6,9,7,4,7,4,7,5,4,7,9,10,3,6,1,8,2,7,8,8,3,2,8,6,4,8,3,7,3,1
Melissa Patel,Feminino,Puro-Sangue,Fabricante de Varinhas,Slytherin,Salmão,Água,Serpente,Verde,9,9,5,7,9,3,8,5,3,10,9,7,5,4,5,10,4,10,1,10,4,10,9,6,1,4,3,8,6,5
Douglas Carr-Reed,Masculino,Puro-Sangue,Estudante,Hufflepuff,Serpente,Fogo,Pomo,Amarelo,8,1,8,8,1,7,8,1,4,9,5,4,9,4,9,7,10,3,4,6,9,9,8,5,8,8,10,6,2,6
Martin West,Feminino,Mestiço,Estudante,Slytherin,Cão,Terra,Amasso (Kneazle),Verde,4,10,4,5,9,3,5,8,4,1,8,10,3,3,6,3,3,8,3,6,2,9,7,8,6,7,1,9,9,5
Rachel Farrell,Feminino,Mestiço,Lojista,Hufflepuff,Cavalo,Terra,Fênix,Amarelo,8,1,2,10,3,9,5,6,8,10,4,4,10,1,8,7,6,3,9,10,9,9,3,4,3,9,8,4,9,2
Clifford Clarke,Feminino,Nascido-Trouxa,Pocionista,Gryffindor,Doninha,Ar,Aranha,Vermelho,8,4,6,3,9,3,9,10,1,8,4,8,2,9,1,2,3,4,9,8,5,4,5,5,9,5,1,3,6,8
Dr Aaron Pearson,Masculino,Mestiço,Lojista,Ravenclaw,Cervo,Água,Rato,Bronze,6,4,8,6,8,9,8,5,7,7,3,8,7,2,2,10,9,6,2,10,3,5,6,4,7,7,10,8,7,5
Graham Rogers,Não-Binário,Mestiço,Pocionista,Hufflepuff,Lobo,Terra,Sapo,Amarelo,7,4,6,10,5,8,10,8,6,8,3,6,7,1,9,3,3,5,10,2,9,7,3,4,6,6,6,4,8,2
Dr Dale Cooper,Masculino,Nascido-Trouxa,Funcionário(a) do Ministério,Hufflepuff,Cão,Terra,Dragão (miniatura),Preto,9,1,2,8,10,8,4,3,7,8,1,2,8,10,7,8,7,6,4,10,9,10,6,4,9,6,10,3,9,1
Dr Jeffrey Smith,Não-Binário,Puro-Sangue,Pesquisador(a),Hufflepuff,Gato,Terra,Sapo,Amarelo,4,5,9,8,5,8,10,3,9,8,2,5,7,7,7,5,6,4,7,10,8,7,8,7,7,10,6,5,4,7
Miss Hannah Reid,Masculino,Nascido-Trouxa,Professor(a),Hufflepuff,Serpente,Terra,Furão,Preto,1,2,8,10,9,10,6,5,4,8,4,4,7,1,9,4,5,7,3,10,8,9,1,5,4,7,9,3,3,8
Mr Simon Schofield,Masculino,Nascido-Trouxa,Pocionista,Hufflepuff,Indeterminado,Terra,Gato,Amarelo,8,3,7,8,8,8,8,9,7,8,5,3,10,3,8,9,2,6,3,5,9,8,5,6,9,9,8,6,1,3
Dr Zoe Pearce,Feminino,Puro-Sangue,Professor(a),Hufflepuff,Gato,Terra,Sapo,Preto,9,2,7,10,10,7,4,6,10,8,1,3,10,7,8,3,8,6,1,4,10,9,2,5,1,6,6,4,7,1
Kenneth Parker,Masculino,Mestiço,Auror,Hufflepuff,Cisne,Terra,Sapo,Preto,1,2,6,10,7,7,5,1,3,10,3,4,10,5,7,5,10,3,5,2,8,9,2,4,10,8,10,4,2,2
Rosemary Mitchell-Blackburn,Não-Binário,Mestiço,Inominável,Gryffindor,Doninha,Fogo,Gato,Dourado,7,3,4,3,8,1,2,8,2,10,4,3,10,10,10,9,4,2,7,4,1,8,5,9,7,10,4,9,1,2
Mr Toby Stewart,Feminino,Nascido-Trouxa,Membro da Suprema Corte,Gryffindor,Cão,Fogo,Gato,Dourado,8,3,4,6,8,7,2,8,3,8,7,8,5,7,4,9,4,2,8,1,7,7,2,7,6,7,4,1,3,9
Mr Reece Parker,Masculino,Mestiço,Pocionista,Slytherin,Lebre,Água,Rato,Verde,7,9,4,6,9,4,10,6,6,6,8,7,2,1,5,5,4,7,8,8,4,6,6,10,1,7,2,10,3,6
Fiona Stevens,Masculino,Nascido-Trouxa,Auror,Gryffindor,Serpente,Fogo,Rato,Vermelho,7,4,5,2,5,6,4,9,4,9,7,7,1,7,6,7,6,6,7,6,6,7,2,7,5,8,10,9,8,8
Diana Bird-Austin,Feminino,Nascido-Trouxa,Fabricante de Varinhas,Gryffindor,Salmão,Fogo,Mini-pufe,Dourado,7,4,6,6,5,5,6,8,4,7,7,4,2,9,3,10,7,4,6,6,6,8,4,9,8,6,4,4,4,10
Hazel Roberts,Masculino,Nascido-Trouxa,Pocionista,Slytherin,Fênix,Água,Fênix,Verde,2,8,2,4,7,3,7,4,4,7,9,10,6,5,6,10,8,7,8,10,4,2,10,6,7,4,1,8,3,10
Mr Leigh Osborne,Feminino,Puro-Sangue,Herbologista,Hufflepuff,Lontra,Terra,Amasso (Kneazle),Amarelo,3,5,4,9,9,7,5,8,1,9,4,3,7,3,8,6,7,6,6,7,9,10,2,7,8,7,10,2,6,8
Brian Dodd,Masculino,Mestiço,Pesquisador(a),Ravenclaw,Lontra,Ar,Dragão (miniatura),Bronze,5,4,9,9,1,3,9,9,6,3,1,6,4,1,3,10,9,9,2,8,3,4,4,6,5,8,3,3,7,8
Dale Haynes,Feminino,Puro-Sangue,Membro da Suprema Corte,Hufflepuff,Cervo,Fogo,Furão,Preto,3,5,2,9,7,9,9,3,5,8,1,3,7,1,7,6,4,3,9,10,9,10,5,4,4,10,10,5,10,1
Miss Caroline O'Neill,Feminino,Nascido-Trouxa,Professor(a),Hufflepuff,Serpente,Fogo,Dragão (miniatura),Amarelo,7,4,5,9,7,10,6,10,10,9,1,4,8,8,7,2,1,3,6,2,10,10,5,7,2,7,10,4,2,9
Ms Laura Bray,Feminino,Nascido-Trouxa,Curandeiro(a),Ravenclaw,Cisne,Ar,Pomo,Azul,5,10,9,9,1,7,8,9,8,2,5,7,6,8,3,9,9,6,4,8,5,2,3,8,6,3,9,8,8,2
Matthew Wright,Não-Binário,Puro-Sangue,Estudante,Gryffindor,Fênix,Fogo,Pomo,Vermelho,10,4,7,9,5,5,4,10,4,10,5,5,10,7,9,4,4,2,8,4,2,3,1,8,2,2,8,10,5,7
Carl Turner,Feminino,Mestiço,Auror,Slytherin,Cão,Água,Cachorro,Verde,8,8,7,5,8,2,8,4,10,4,8,10,4,1,1,3,8,9,8,10,1,9,7,7,2,3,1,10,3,8
Kimberley Winter,Feminino,Nascido-Trouxa,Desempregado(a),Slytherin,Raposa,Água,Aranha,Prata,8,10,9,3,8,4,4,9,2,10,8,8,4,1,5,7,10,8,10,7,1,5,9,6,4,4,1,9,8,6
Julia Reynolds,Feminino,Nascido-Trouxa,Auror,Ravenclaw,Lontra,Ar,Rato,Bronze,7,3,10,6,8,5,10,8,8,1,3,7,5,3,4,9,6,9,2,5,8,6,5,7,6,5,1,8,10,3
Reece Coates,Masculino,Puro-Sangue,Inominável,Gryffindor,Cavalo,Fogo,Amasso (Kneazle),Vermelho,10,6,7,5,9,8,9,8,3,10,7,6,7,10,7,2,3,4,7,10,1,6,2,5,8,3,6,9,1,6
Elaine Hussain-Humphreys,Masculino,Mestiço,Inominável,Slytherin,Gato,Água,Sapo,Prata,7,9,10,5,7,4,9,5,3,5,10,10,5,3,3,4,4,10,4,10,3,6,6,9,3,7,1,7,10,4
Megan Hodgson,Masculino,Mestiço,Curandeiro(a),Slytherin,Serpente,Água,Amasso (Kneazle),Verde,2,8,4,7,9,5,4,6,6,6,8,9,3,8,1,8,4,10,6,7,4,9,10,10,6,1,2,8,6,9
Douglas Simpson,Masculino,Nascido-Trouxa,Jogador(a) de Quadribol,Ravenclaw,Serpente,Ar,Dragão (miniatura),Azul,4,10,8,5,7,1,8,7,8,7,4,6,6,8,5,8,7,6,3,9,7,8,6,3,6,6,1,2,7,2
Bryan Warren-Anderson,Masculino,Mestiço,Lojista,Gryffindor,Serpente,Fogo,Mini-pufe,Dourado,10,5,8,8,9,9,6,10,2,9,6,8,3,8,6,3,4,6,7,6,1,10,2,7,3,5,8,10,5,8
